Review ID,Review Text,Star Rating,Review Submit Date and Time
ps_001,Discover Weekly is stale — same artists every week. I want genuinely new music not my top 50 again.,1,2025-03-12 10:22:00
ps_002,Spotify recommendations feel stuck. Release Radar and Daily Mix play songs I already saved months ago.,2,2025-03-14 08:15:00
ps_003,Love the app but the algorithm keeps pushing mainstream pop when I listen to jazz and ambient.,3,2025-03-15 19:40:00
ps_004,Made For You playlists recycle the same tracks. Hard to discover underground artists on Spotify.,4,2025-03-18 11:05:00
ps_005,Search for new music is terrible compared to finding songs on TikTok. Spotify feels behind on discovery.,5,2025-03-20 16:30:00
ps_006,Discover Weekly used to be amazing. Now it feels like a shuffle of my liked songs with one new track.,1,2025-03-22 09:00:00
ps_007,Radio feature repeats the same 20 songs. I wish recommendations considered mood and time of day.,2,2025-03-25 21:18:00
ps_008,Great library management but discovery is weak. Blend playlists helped me find friends music though.,3,2025-03-28 07:45:00
ps_009,Algorithm thinks I only want one genre. I listen to hip hop AND classical but never get classical recs.,1,2025-04-01 13:12:00
ps_010,Daily Mix 1 is literally the same playlist every day with tiny changes. Disappointing for premium user.,2,2025-04-03 18:55:00
ps_011,Spotify is unbeatable for playlists but I discover most new artists on YouTube or Instagram reels.,5,2025-04-05 12:00:00
ps_012,Recommendations ignore my skips. I skip the same artist 10 times and they still appear in Discover Weekly.,1,2025-04-08 22:10:00
ps_013,Song radio always loops back to hits from 2018. Need better deep-cut discovery for niche genres.,3,2025-04-10 06:33:00
ps_014,Fresh Finds was good before they removed it. Now I rely on follower playlists which is manual work.,2,2025-04-12 15:20:00
ps_015,Smart Shuffle is confusing — sometimes it plays only familiar songs when I wanted discovery mode.,4,2025-04-14 20:44:00
ps_016,The home feed feels like ads and podcasts. Hard to find a simple path to explore new genres.,1,2025-04-16 09:28:00
ps_017,Spotify Wrapped is fun but I want year-round stats on how much of my listening is repeat vs new.,3,2025-04-18 11:50:00
ps_018,Discover Weekly picks feel safe and corporate. Missing the serendipity I got from old Spotify.,2,2025-04-20 23:05:00
ps_019,Same songs in every algorithm playlist. My wife and I get nearly identical Discover Weekly lists.,1,2025-04-22 08:17:00
ps_020,Best music app overall. Discovery could improve by surfacing local artists in my city.,5,2025-04-24 14:02:00
ps_021,Autoplay after albums plays unrelated popular tracks instead of similar underground artists.,2,2025-04-26 17:39:00
ps_022,I use Spotify for podcasts only now. Music discovery moved to Bandcamp and SoundCloud.,1,2025-04-28 10:11:00
ps_023,Release Radar misses small indie releases I follow on social media. Only shows big label artists.,3,2025-05-01 19:25:00
ps_024,Playlist recommendations on home screen are repetitive. Show me genres I never explore.,2,2025-05-03 07:58:00
ps_025,"DJ feature is gimmicky. Would prefer better filters on Discover like decade, region, or mood.",4,2025-05-05 16:40:00
ps_026,Algorithm punishes exploring new genres — my recommendations narrow after one week of jazz.,1,2025-05-07 21:15:00
ps_027,Search autocomplete prioritizes popular songs. Hard to discover remixes and live versions.,3,2025-05-09 12:33:00
ps_028,Discover Weekly has maybe 2 songs I keep. Rest are skips. Apple Music discovery feels fresher.,2,2025-05-11 18:00:00
ps_029,Same top artists in every Made For You tile. Feels like Spotify ran out of ideas for my taste.,1,2025-05-13 09:45:00
ps_030,Love collaborative playlists for discovery with friends. Algorithm solo discovery is mid though.,5,2025-05-15 20:20:00
ps_031,Radio from song always adds the same featured artists Spotify promotes globally.,2,2025-05-17 06:55:00
ps_032,"I want a discovery mode that only plays songs I have never heard, zero repeats for 30 days.",1,2025-05-19 15:10:00
ps_033,Blend helped discovery but needs more controls. Also suggest artists similar to my recent likes.,3,2025-05-21 22:48:00
ps_034,Home page algorithm pushes podcast recs I never asked for. Buried the music discovery tiles.,2,2025-05-23 11:22:00
ps_035,Time Capsule and On Repeat are fun but not discovery — where is the new artist spotlight?,4,2025-05-25 13:37:00
ps_036,Discover Weekly same songs as last month. Checked with friends — we all get parallel universes of sameness.,1,2025-05-27 08:05:00
ps_037,Premium user frustrated that recommendations feel like free tier with ads removed only.,2,2025-05-29 19:50:00
ps_038,"Song Radio could use diversity slider — sometimes I want comfort, sometimes pure exploration.",3,2025-06-01 10:30:00
ps_039,Algorithm ignores my playlist folders. I have a discovery playlist but recs dont learn from it.,1,2025-06-03 16:18:00
ps_040,New releases section is useful but Discover Weekly doesnt align with artists I actually follow.,2,2025-06-05 21:44:00
ps_041,Still my daily driver. Would pay extra tier for human-curated discovery like old Discover tab.,5,2025-06-07 07:12:00
ps_042,Repeat listening trap — Spotify keeps me in a loop of favorites instead of expanding taste.,1,2025-06-09 14:55:00
ps_043,Search by mood or activity for discovery is clunky. Playlists feel generic and over-curated.,2,2025-06-11 18:28:00
ps_044,Recommendations improved after I reset taste profile manually by un-liking hundreds of songs.,3,2025-06-13 09:40:00
ps_045,Discover Weekly algorithm playlist is broken for metal listeners. Keeps suggesting pop punk.,1,2025-06-15 20:05:00
ps_046,"Same songs problem is real — hear identical tracks on Daily Mix, Release Radar, and Discover.",2,2025-06-17 11:33:00
ps_047,Want discovery based on lyrics themes not just audio similarity. Current recs feel shallow.,4,2025-06-18 15:20:00
ps_048,Spotify should explain WHY a song was recommended. Transparency would help trust the algorithm.,1,2025-06-19 08:00:00
ps_049,Friend activity feed disappeared. Social discovery was underrated for finding new music.,3,2025-06-19 09:15:00
ps_050,Made For You section never surfaces international artists despite me listening to K-pop sometimes.,2,2025-06-19 10:30:00
ps_051,Playlist generator from prompt is cool but results feel like top charts not deep discovery.,1,2025-06-19 11:45:00
ps_052,I replay the same 10 songs because recommendations dont push me out of comfort zone enough.,2,2025-06-19 12:00:00
ps_053,Excellent app design. Discovery gap is the only reason I still check other streaming services.,5,2025-06-19 13:10:00
